config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
256,0.05,0.005,0.8,0.15,0.00015,0.7,100,True,0.6484,0.5855,0.6232,2.86
257,0.05,0.005,0.8,0.18,8e-05,0.4,80,False,0.6982,0.6518,0.6796,2.29
258,0.05,0.005,0.8,0.18,8e-05,0.4,80,True,0.5303,0.4835,0.5116,1.73
259,0.05,0.005,0.8,0.18,8e-05,0.4,100,False,0.5623,0.5083,0.5407,2.86
260,0.05,0.005,0.8,0.18,8e-05,0.4,100,True,0.5264,0.4418,0.4925,2.30
261,0.05,0.005,0.8,0.18,8e-05,0.5,80,False,0.7051,0.5689,0.6506,2.29
262,0.05,0.005,0.8,0.18,8e-05,0.5,80,True,0.6262,0.5302,0.5878,2.29
263,0.05,0.005,0.8,0.18,8e-05,0.5,100,False,0.6215,0.5583,0.5962,2.86
264,0.05,0.005,0.8,0.18,8e-05,0.5,100,True,0.6587,0.6102,0.6393,2.87
265,0.05,0.005,0.8,0.18,8e-05,0.6,80,False,0.6620,0.6325,0.6502,2.29
266,0.05,0.005,0.8,0.18,8e-05,0.6,80,True,0.3712,0.4208,0.3910,2.29
267,0.05,0.005,0.8,0.18,8e-05,0.6,100,False,0.6633,0.5557,0.6202,2.86
268,0.05,0.005,0.8,0.18,8e-05,0.6,100,True,0.6391,0.5221,0.5923,2.87
269,0.05,0.005,0.8,0.18,8e-05,0.7,80,False,0.5485,0.4782,0.5204,2.29
270,0.05,0.005,0.8,0.18,8e-05,0.7,80,True,0.4220,0.4047,0.4151,2.29
271,0.05,0.005,0.8,0.18,8e-05,0.7,100,False,0.5413,0.5038,0.5263,2.87
272,0.05,0.005,0.8,0.18,8e-05,0.7,100,True,0.3726,0.3978,0.3827,2.86
273,0.05,0.005,0.8,0.18,0.0001,0.4,80,False,0.5335,0.5134,0.5255,2.29
